geoid,name,C17002001,"C17002001, Error",C17002002,"C17002002, Error",C17002003,"C17002003, Error",C17002004,"C17002004, Error",C17002005,"C17002005, Error",C17002006,"C17002006, Error",C17002007,"C17002007, Error",C17002008,"C17002008, Error"
04000US01,Alabama,4960839,3969,363272,18473,409894,19841,225993,15077,217482,14879,331333,17147,151792,13317,3261073,30143
04000US02,Alaska,717303,801,35818,4367,38535,4706,23872,5256,27294,5177,35517,5835,18329,3237,537938,9950
04000US04,Arizona,7274129,4225,464841,23422,440577,21131,271503,18842,292872,22579,429841,25853,191722,14825,5182773,43931
04000US05,Arkansas,2980358,1994,221549,15132,245075,15763,156055,11564,155579,11623,224942,14565,97523,8435,1879635,23417
04000US06,California,38249688,8492,2248222,43279,2340465,58201,1321447,47526,1472569,39937,2075424,45931,966383,30034,27825176,90199
04000US08,Colorado,5757114,4079,278994,16836,257513,18912,144971,13642,179265,13511,245421,16505,127750,11620,4523200,30842
04000US09,Connecticut,3521952,2326,187965,14520,174059,12521,97856,9720,111432,11286,160750,12097,68844,8902,2721046,25435
04000US10,Delaware,1007022,1267,48985,6125,57042,7630,22100,4057,35374,5746,59045,9217,20308,3803,764168,13475
04000US11,District of Columbia,649438,567,52963,7158,38105,7977,13699,4351,15599,4540,15805,5022,5438,2109,507829,12742
04000US12,Florida,22139460,6333,1315827,39983,1413692,44136,822231,32892,961557,43286,1372062,43247,661069,30336,15593022,84457
04000US13,Georgia,10765238,4549,717955,27576,743362,29859,416808,22221,455229,23056,649570,27303,290315,21123,7491999,51733
04000US15,Hawaii,1398532,2507,71029,7018,70896,7161,39938,5844,40477,5215,58628,7481,32344,6046,1085220,15737
04000US16,Idaho,1915282,1223,83555,7917,110080,10922,66355,7632,87359,7156,131079,11920,71004,8261,1365850,17005
04000US17,Illinois,12268020,4681,731469,27368,695048,28044,364400,20654,419087,23792,646801,26599,312716,21331,9098499,47285
04000US18,Indiana,6672209,3934,403918,16884,417483,21233,246404,14977,282700,14263,435819,21633,215734,15722,4670151,38873
04000US19,Iowa,3108670,2176,150154,8737,201070,12235,104125,10761,115862,9133,178825,11437,96291,7808,2262343,22957
04000US20,Kansas,2854559,2212,151986,10362,167666,11324,102719,10534,121419,8539,174212,11882,80684,6790,2055873,17182
04000US21,Kentucky,4402485,3095,350174,13239,370468,17315,208664,14383,208327,12492,294050,17296,136308,11175,2834494,33195
04000US22,Louisiana,4448119,2711,397146,20548,443000,23412,204166,15690,208211,14085,299790,17816,140462,11570,2755344,35682
04000US23,Maine,1355422,889,65587,6408,74873,5363,47612,6337,53185,6994,76868,7543,40094,4068,997203,14053
04000US24,Maryland,6048665,6165,328311,16143,245849,15043,151515,14571,187117,14870,239675,18341,125825,11859,4770373,32417
04000US25,Massachusetts,6780372,2619,342686,17425,364044,21325,178845,14075,195426,13660,260244,15404,110704,8847,5328423,31187
04000US26,Michigan,9827315,3935,643296,18020,683444,24689,334088,18959,397496,17468,553883,25198,276118,15312,6938990,38883
04000US27,Minnesota,5617947,2228,241105,11113,279497,14301,163146,14223,172725,10752,265261,16749,115940,7644,4380273,24828
04000US28,Mississippi,2841691,2529,231594,13205,280590,17281,163837,12022,154616,14390,201678,13658,102424,10506,1706952,27020
04000US29,Missouri,6025993,3580,326341,14827,393869,19133,242531,14851,257048,15609,367653,14897,179121,10800,4259430,34282
04000US30,Montana,1107806,843,62012,5285,67792,6603,41048,4725,46531,5453,64949,5613,29970,3698,795504,10486
04000US31,Nebraska,1931461,1141,92639,7322,109439,8924,64192,8109,74866,7755,111034,8234,58348,7355,1420943,15267
04000US32,Nevada,3154850,2511,196532,11917,180974,15716,125236,11326,136989,11785,199112,14361,96597,11575,2219410,29566
04000US33,New Hampshire,1362544,1284,51804,7624,46131,5409,29237,5698,36322,5484,49834,6293,26157,3933,1123059,13082
04000US34,New Jersey,9131628,3572,426304,19650,460468,22775,249928,16642,269476,19262,381479,19778,194602,15022,7149371,35505
04000US35,New Mexico,2075116,1843,182084,14102,186585,12678,103669,10220,107888,11305,146710,12073,65626,8137,1282554,21529
04000US36,New York,19068408,9163,1333084,38708,1369871,32468,680329,32784,704629,32517,969102,33425,438078,20190,13573316,65866
04000US37,North Carolina,10549944,4174,652907,26401,696395,34396,419152,24578,429742,21378,682112,25211,287822,15452,7381814,46813
04000US38,North Dakota,755048,1286,33698,3859,40143,4182,19794,3718,21595,3474,37993,4939,18875,3215,582950,7368
04000US39,Ohio,11479820,5193,731292,21110,796612,30260,405078,18671,470629,24242,670206,24218,319547,17777,8086456,47598
04000US40,Oklahoma,3932800,1671,294780,9877,331405,13448,179883,9139,202998,12107,267328,11751,117137,7712,2539269,20017
04000US41,Oregon,4159215,2182,256612,12629,249932,14425,147557,13919,154965,10476,216372,13717,101707,9617,3032070,26622
04000US42,Pennsylvania,12535767,4423,745637,26409,755322,28308,439302,25979,469451,20781,681697,27352,321846,16488,9122512,47615
04000US44,Rhode Island,1055352,1616,55739,7524,58673,8142,28804,5590,42857,9607,54485,9514,24224,5763,790570,14649
04000US45,South Carolina,5231370,3585,356405,17950,370394,21123,209505,16539,234692,17985,327691,21826,163893,14947,3568790,35134
04000US46,South Dakota,890853,963,45045,4943,59639,7154,33926,3723,37293,5911,57576,7226,26101,4560,631273,10075
04000US47,Tennessee,6969478,4678,458833,19225,519627,23426,251911,17526,301677,18283,435073,20975,210894,16530,4791463,38438
04000US48,Texas,29889560,6743,1928583,55665,2158268,54046,1226128,45874,1315938,51280,1854173,48825,861644,32040,20544824,96366
04000US49,Utah,3363147,2596,148081,9860,156168,13174,88531,9816,108675,9977,169975,12965,97494,11046,2594223,25236
04000US50,Vermont,624370,894,31213,3228,29200,3645,17698,3250,19747,3323,28427,3678,13902,2778,484183,8165
04000US51,Virginia,8472782,4516,450096,22089,414298,18789,244095,16300,283664,17560,428546,21766,201741,12562,6450342,41568
04000US53,Washington,7678825,4390,406576,18948,387850,17695,195199,13688,247315,14319,347572,17722,172775,14952,5921538,38019
04000US54,West Virginia,1716152,2038,126183,8938,159597,8332,75689,7753,76537,7523,128032,9034,52483,6209,1097631,15560
04000US55,Wisconsin,5781514,2329,296531,14028,320343,14905,181506,11462,220725,13240,292288,12555,139928,9830,4330193,30345
04000US56,Wyoming,571028,610,30252,4141,34057,4929,18992,4092,23611,4399,31091,4701,20661,3621,412364,9694
